"runid","iterid","K","M","d","D","e","t","hood_no","score"
4,41,37,2,0,2,7,2,1,18958
4,42,37,2,0,2,7,2,1,18958
4,43,37,2,0,2,7,2,1,18958
4,44,37,2,0,2,7,2,1,18958
4,45,37,2,0,2,7,2,1,18958
4,46,37,2,0,2,7,2,1,18958
4,47,37,2,0,2,7,2,1,18958
4,48,37,2,0,2,7,2,1,18958
4,49,37,2,0,2,7,2,1,18958
4,50,37,2,0,2,7,2,2,18958
4,51,37,2,0,2,7,2,2,18958
4,52,21,1,2,2,7,2,2,19912
4,53,21,1,2,2,7,2,2,19912
4,54,21,1,2,2,7,2,2,19912
4,55,21,1,2,2,7,2,3,19912
4,56,21,1,2,2,7,2,3,19912
4,57,29,0,2,2,2,2,3,23783
4,58,29,0,2,2,2,2,3,23783
4,59,29,0,2,2,2,2,3,23783
4,60,29,0,2,2,2,2,4,23783
4,61,29,0,2,2,2,2,4,23783
4,62,21,0,0,2,2,2,4,28782
4,63,21,0,0,2,2,2,4,28782
4,64,21,0,0,2,2,2,4,28782
4,65,21,0,0,2,2,2,5,28782
4,66,21,0,0,2,2,2,5,28782
4,67,21,0,0,2,2,2,5,28782
4,68,21,0,0,2,2,2,5,28782
4,69,21,0,0,2,2,2,5,28782
4,70,21,0,0,2,2,2,6,28782
4,71,29,0,0,0,2,2,6,32664
4,72,29,1,0,0,2,2,6,33215
4,73,29,2,0,0,2,2,6,34096
4,74,29,2,0,0,2,2,6,34096
4,75,29,2,0,0,2,2,7,34096
4,76,29,2,0,0,2,2,7,34096
4,77,29,2,0,0,2,2,7,34096
4,78,29,2,0,0,2,2,7,34096
4,79,29,2,0,0,2,2,7,34096
4,80,29,3,0,2,2,7,8,34428
5,1,29,3,0,4,2,2,1,34428
6,1,45,1,2,0,12,12,1,12545
6,2,37,1,2,0,7,7,1,19448
6,3,37,1,2,0,7,7,1,19448
6,4,37,1,2,0,7,7,1,19448
6,5,37,1,2,0,7,7,1,19448
6,6,37,1,2,0,7,7,1,19448
6,7,37,1,2,0,7,7,1,19448
6,8,37,1,2,0,7,7,1,19448
6,9,37,1,2,0,7,7,1,19448
6,10,37,1,2,0,7,7,1,19448
6,11,37,1,2,0,7,7,1,19448
6,12,37,1,2,0,7,7,1,19448
6,13,37,1,2,0,7,7,1,19448
6,14,37,1,2,0,7,7,1,19448
6,15,37,1,2,0,7,7,1,19448
6,16,37,1,2,0,7,7,1,19448
6,17,37,1,2,0,7,7,1,19448
6,18,37,1,2,0,7,7,1,19448
6,19,37,1,2,0,7,7,1,19448
6,20,37,1,2,0,7,7,1,19448
6,21,37,1,2,0,7,7,1,19448
6,22,37,1,2,0,7,7,1,19448
6,23,37,1,2,0,7,7,1,19448
6,24,37,1,2,0,7,7,1,19448
6,25,37,1,2,0,7,7,1,19448
6,26,37,1,2,0,7,7,1,19448
6,27,37,1,2,0,7,7,1,19448
6,28,37,1,2,0,7,7,1,19448
6,29,37,1,2,0,7,7,1,19448
6,30,37,1,2,0,7,7,1,19448
6,31,37,1,2,0,7,7,1,19448
6,32,37,1,2,0,7,7,1,19448
6,33,37,1,2,0,7,7,1,19448
6,34,37,1,2,0,7,7,1,19448
6,35,37,1,2,0,7,7,1,19448
6,36,37,1,2,0,7,7,1,19448
6,37,37,1,2,0,7,7,1,19448
6,38,37,1,2,0,7,7,1,19448
6,39,37,1,2,0,7,7,1,19448
6,40,37,1,2,0,7,7,1,19448
6,41,37,1,2,0,7,7,1,19448
6,42,37,1,2,0,7,7,1,19448
6,43,37,1,2,0,7,7,1,19448
6,44,37,1,2,0,7,7,1,19448
6,45,37,1,2,0,7,7,1,19448
6,46,37,1,2,0,7,7,1,19448
6,47,37,1,2,0,7,7,1,19448
6,48,37,1,2,0,7,7,1,19448
6,49,37,1,2,0,7,7,1,19448
6,50,37,1,2,0,7,7,2,19448
6,51,37,1,2,0,7,7,2,19448
6,52,37,1,2,0,7,7,2,19448
6,53,21,0,2,0,2,2,2,22038
6,54,21,0,2,0,2,2,2,22038
6,55,21,0,2,0,2,2,3,22038
6,56,21,0,2,0,2,2,3,22038
6,57,21,0,2,0,2,2,3,22038
6,58,21,0,2,0,2,2,3,22038
6,59,21,0,2,0,2,2,3,22038
6,60,21,0,0,0,2,2,4,28782
6,61,21,0,0,0,2,2,4,28782
