a,b,c,hood_no,score
96,99,28,15,50426
96,99,28,15,50426
96,99,28,15,50426
98,99,29,15,51387
98,99,29,15,51387
98,99,29,15,51387
98,99,29,16,51387
98,99,29,16,51387
98,99,29,16,51387
98,99,29,16,51387
98,99,29,16,51387
99,98,31,16,51556
99,98,31,16,51556
99,98,31,16,51556
98,99,30,16,51566
98,99,30,16,51566
98,99,30,16,51566
98,99,30,16,51566
98,99,30,16,51566
98,99,30,16,51566
98,99,30,16,51566
99,100,29,16,52380
99,100,29,16,52380
99,100,29,16,52380
99,100,29,16,52380
99,100,29,16,52380
99,100,29,16,52380
99,100,29,16,52380
99,100,29,16,52380
99,100,29,16,52380
99,100,29,16,52380
99,100,29,16,52380
99,100,29,16,52380
99,100,29,16,52380
99,100,29,16,52380
99,100,29,16,52380
99,100,29,16,52380
99,100,29,16,52380
99,100,29,16,52380
99,100,29,16,52380
99,100,29,16,52380
99,100,29,16,52380
99,100,29,16,52380
99,100,29,16,52380
99,100,29,16,52380
99,100,29,16,52380
99,100,29,16,52380
99,100,29,16,52380
99,100,29,16,52380
99,100,30,16,52559
99,100,30,16,52559
99,100,30,16,52559
99,100,30,16,52559
99,100,30,16,52559
99,100,30,16,52559
99,100,30,16,52559
99,100,30,17,52559
99,100,30,17,52559
99,100,30,17,52559
99,100,30,17,52559
99,100,30,17,52559
99,100,30,17,52559
99,100,30,17,52559
99,100,30,17,52559
99,100,30,17,52559
99,100,30,17,52559
99,100,30,17,52559
99,100,30,17,52559
99,100,30,17,52559
99,100,30,17,52559
99,100,30,17,52559
99,100,30,17,52559
99,100,30,17,52559
99,100,30,17,52559
99,100,30,17,52559
99,100,30,17,52559
99,100,30,17,52559
99,100,30,17,52559
99,100,30,17,52559
99,100,30,17,52559
99,100,30,17,52559
99,100,30,17,52559
99,100,30,17,52559
99,100,30,17,52559
99,100,30,17,52559
99,100,30,17,52559
99,100,30,17,52559
99,100,30,17,52559
99,100,30,17,52559
99,100,30,17,52559
99,100,30,17,52559
99,100,31,17,52744
99,100,31,17,52744
99,100,31,17,52744
99,100,31,17,52744
99,100,31,17,52744
99,100,31,17,52744
99,100,31,17,52744
99,100,31,17,52744
99,100,31,17,52744
99,100,31,17,52744
99,100,31,17,52744
99,100,31,17,52744
99,100,31,17,52744
99,100,31,17,52744
99,100,31,17,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,18,52744
99,100,31,19,52744
99,100,31,19,52744
99,100,31,19,52744
99,100,31,19,52744
99,100,31,19,52744
99,100,31,19,52744
99,100,31,19,52744
99,100,31,19,52744
99,100,31,19,52744
99,100,31,19,52744
99,100,31,19,52744
99,100,31,19,52744
99,100,31,19,52744
99,100,31,19,52744
99,100,31,19,52744
99,100,31,19,52744
100,99,33,19,52935
100,99,33,19,52935
100,99,33,19,52935
100,99,33,19,52935
100,99,33,19,52935
100,99,33,19,52935
100,99,33,19,52935
100,99,33,19,52935
100,99,33,19,52935
100,99,33,19,52935
100,99,33,19,52935
100,99,33,19,52935
100,99,33,19,52935
100,99,33,19,52935
100,99,33,19,52935
100,99,33,19,52935
100,99,33,19,52935
100,99,33,19,52935
