assembly_id,numSeqs,n50,smallest,largest,totLen,K,M,d,D,L,e,t,time,gz_size,ut_weight,ut_optimum,ut_max,ut_result,ut_time,brm_weight,brm_optimum,brm_max,brm_time,brm_total,brm_good,brm_bad,brm_paired,brm_unpaired,brm_proper_pair,brm_improper_pair,brm_proper_orientation,brm_improper_orientation,brm_both_mapped,brm_same_contig,brm_realistic,brm_unrealistic,brm_result,rba_weight,rba_optimum,rba_max,rba_time,rba_result,rba_query_hits,rba_target_hits,rba_mean_q_bitscore,rba_mean_t_bitscore
4364,103,256,111,1556,26592,37,2,0,2,200,12,7,29.653005841,8977,1.0,0,103.0,46,2.622017183,1.0,26000,26000.0,19.090535357,68,66,279,143.037,172.649,1.0,0.0,1.0,0.214170923,14124,14124,0,14124,0,14124,0,14124,0,0,0,0,0,0
4365,103,256,111,1556,26592,37,2,0,2,200,12,12,29.528217291,8977,1.0,0,103.0,46,2.500729232,1.0,26000,26000.0,18.91034062,69,66,279,143.258,175.678,1.0,0.0,1.0,0.181714936,14124,14124,0,14124,0,14124,0,14124,0,0,0,0,0,0
4366,1122,191,111,1658,222466,37,2,0,2,200,2,2,31.909866983,73401,1.0,0,1122.0,817,4.275904888,1.0,26000,26000.0,23.077026322,682,667,2138,106.188,140.526,1.0,0.0,1.0,0.361369158,29539,29538,0,29538,0,29538,0,29538,0,0,0,0,0,0
4367,1122,191,111,1658,222466,37,2,0,2,200,2,7,31.812582538,73401,1.0,0,1122.0,817,4.195354858,1.0,26000,26000.0,22.924470598,680,667,2138,106.843,136.866,1.0,0.0,1.0,0.34897993,29539,29538,0,29538,0,29538,0,29538,0,0,0,0,0,0
4368,1122,191,111,1658,222466,37,2,0,2,200,2,12,32.25569495,73401,1.0,0,1122.0,817,4.169777988,1.0,26000,26000.0,23.369853899,682,667,2138,106.188,140.526,1.0,0.0,1.0,0.351767387,29539,29538,0,29538,0,29538,0,29538,0,0,0,0,0,0
4369,176,393,111,1556,49442,37,2,0,2,200,7,2,32.10423596,16440,1.0,0,176.0,103,3.461548498,1.0,26000,26000.0,21.140739185,113,109,437,152.441,191.679,1.0,0.0,1.0,0.19501598,18959,18958,0,18958,0,18958,0,18958,0,0,0,0,0,0
4370,176,393,111,1556,49442,37,2,0,2,200,7,7,27.600986187,16440,1.0,0,176.0,103,3.861499794,1.0,26000,26000.0,44.230811372,112,109,437,152.344,191.174,1.0,0.0,1.0,0.200860828,18959,18958,0,18958,0,18958,0,18958,0,0,0,0,0,0
4371,176,393,111,1556,49442,37,2,0,2,200,7,12,29.338254858,16440,1.0,0,176.0,103,3.20576404,1.0,26000,26000.0,20.612994238,113,109,437,152.441,191.418,1.0,0.0,1.0,0.19293964,18959,18958,0,18958,0,18958,0,18958,0,0,0,0,0,0
4372,103,256,111,1556,26592,37,2,0,2,200,12,2,32.297039956,8977,1.0,0,103.0,46,2.607325027,1.0,26000,26000.0,18.304761322,69,66,279,143.258,174.183,1.0,0.0,1.0,0.179771099,14124,14124,0,14124,0,14124,0,14124,0,0,0,0,0,0
4373,103,256,111,1556,26592,37,2,0,2,200,12,7,32.390159262,8977,1.0,0,103.0,46,2.531360704,1.0,26000,26000.0,18.368130266,69,66,279,143.258,175.678,1.0,0.0,1.0,0.180175997,14124,14124,0,14124,0,14124,0,14124,0,0,0,0,0,0
4374,103,256,111,1556,26592,37,2,0,2,200,12,12,30.392792393,8977,1.0,0,103.0,46,2.654831617,1.0,26000,26000.0,17.895133257,69,66,279,143.258,175.678,1.0,0.0,1.0,0.189195905,14124,14124,0,14124,0,14124,0,14124,0,0,0,0,0,0
4375,1122,191,111,1658,222466,37,2,0,4,200,2,2,31.435417062,73401,1.0,0,1122.0,817,4.387725342,1.0,26000,26000.0,23.741012039,682,667,2138,106.181,140.518,1.0,0.0,1.0,0.347404106,29539,29538,0,29538,0,29538,0,29538,0,0,0,0,0,0
4376,1122,191,111,1658,222466,37,2,0,4,200,2,7,28.869749237,73401,1.0,0,1122.0,817,4.311750382,1.0,26000,26000.0,23.448129412,682,667,2138,106.188,140.454,1.0,0.0,1.0,0.345829578,29539,29538,0,29538,0,29538,0,29538,0,0,0,0,0,0
4377,1122,191,111,1658,222466,37,2,0,4,200,2,12,31.700066576,73401,1.0,0,1122.0,817,4.265302601,1.0,26000,26000.0,23.465680989,683,667,2138,107.97,137.948,1.0,0.0,1.0,0.350526413,29539,29538,0,29538,0,29538,0,29538,0,0,0,0,0,0
4378,176,393,111,1556,49442,37,2,0,4,200,7,2,30.255705824,16440,1.0,0,176.0,103,3.363935449,1.0,26000,26000.0,19.904538489,112,109,437,151.621,192.682,1.0,0.0,1.0,0.192981716,18959,18958,0,18958,0,18958,0,18958,0,0,0,0,0,0
4379,176,393,111,1556,49442,37,2,0,4,200,7,7,31.209372676,16440,1.0,0,176.0,103,3.273226259,1.0,26000,26000.0,20.680350385,112,109,438,152.344,191.174,1.0,0.0,1.0,0.195595477,18959,18958,0,18958,0,18958,0,18958,0,0,0,0,0,0
4380,176,393,111,1556,49442,37,2,0,4,200,7,12,30.449345287,16440,1.0,0,176.0,103,3.252683712,1.0,26000,26000.0,19.984817285,112,109,437,152.344,192.431,1.0,0.0,1.0,0.188459132,18959,18958,0,18958,0,18958,0,18958,0,0,0,0,0,0
4381,103,256,111,1556,26592,37,2,0,4,200,12,2,30.577291276,8977,1.0,0,103.0,46,2.549388374,1.0,26000,26000.0,18.320708778,69,66,279,143.258,175.678,1.0,0.0,1.0,0.180826415,14124,14124,0,14124,0,14124,0,14124,0,0,0,0,0,0
4382,103,256,111,1556,26592,37,2,0,4,200,12,7,27.896396723,8977,1.0,0,103.0,46,2.55773569,1.0,26000,26000.0,18.237710279,69,66,279,143.258,166.886,1.0,0.0,1.0,0.176461735,14124,14124,0,14124,0,14124,0,14124,0,0,0,0,0,0
4383,103,256,111,1556,26592,37,2,0,4,200,12,12,31.114174024,8977,1.0,0,103.0,46,2.540927961,1.0,26000,26000.0,18.412409592,69,66,279,143.235,175.655,1.0,0.0,1.0,0.374395112,14124,14124,0,14124,0,14124,0,14124,0,0,0,0,0,0
4384,1122,191,111,1658,222466,37,2,0,4,200,2,2,31.623281223,73401,1.0,0,1122.0,817,4.368509767,1.0,26000,26000.0,23.681720738,680,667,2138,106.05,138.722,1.0,0.0,1.0,0.345777619,29539,29538,0,29538,0,29538,0,29538,0,0,0,0,0,0
4385,1122,191,111,1658,222466,37,2,0,4,200,2,7,32.477673022,73401,1.0,0,1122.0,817,4.166211079,1.0,26000,26000.0,24.036675859,682,667,2138,107.016,138.187,1.0,0.0,1.0,0.349613934,29539,29538,0,29538,0,29538,0,29538,0,0,0,0,0,0
4386,1122,191,111,1658,222466,37,2,0,4,200,2,12,32.041534475,73401,1.0,0,1122.0,817,4.273369128,1.0,26000,26000.0,22.78803769,683,667,2138,107.025,140.654,1.0,0.0,1.0,0.412315667,29539,29538,0,29538,0,29538,0,29538,0,0,0,0,0,0
4387,176,393,111,1556,49442,37,2,0,4,200,7,2,30.969370575,16440,1.0,0,176.0,103,3.233226693,1.0,26000,26000.0,20.190094856,112,109,438,152.344,190.997,1.0,0.0,1.0,0.198150117,18959,18958,0,18958,0,18958,0,18958,0,0,0,0,0,0
4388,176,393,111,1556,49442,37,2,0,4,200,7,7,29.697466516,16440,1.0,0,176.0,103,3.340035082,1.0,26000,26000.0,20.387768742,116,109,437,150.828,193.747,1.0,0.0,1.0,0.236016566,18959,18958,0,18958,0,18958,0,18958,0,0,0,0,0,0
4389,176,393,111,1556,49442,37,2,0,4,200,7,12,28.859371117,16440,1.0,0,176.0,103,3.189983195,1.0,26000,26000.0,20.101163368,112,109,437,152.344,192.682,1.0,0.0,1.0,0.18938182,18959,18958,0,18958,0,18958,0,18958,0,0,0,0,0,0
